('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         844682 function calls (820384 primitive calls) in 2.352 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      267    0.004    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    267/7    0.001    0.000    0.521    0.074 <frozen importlib._bootstrap_external>:989(exec_module)
      267    0.001    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      267    0.017    0.000    0.017    0.000 {method 'read' of '_io.BufferedReader' objects}
      267    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
      267    0.077    0.000    0.077    0.000 {built-in method _io.open_code}
      267    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      267    0.028    0.000    0.028    0.000 {built-in method marshal.loads}
      260    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      251    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      251    0.000    0.000    0.000    0.000 types.py:192(__init__)
      250    0.001    0.000    0.002    0.000 typing_extensions.py:3473(_collect_parameters)
      250    0.001    0.000    0.001    0.000 typing_extensions.py:3388(_has_generic_or_protocol_as_origin)
      250    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      248    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      236    0.000    0.000    0.001    0.000 typing.py:1205(__getattr__)
      230    0.000    0.000    0.000    0.000 config.py:45(debug)
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      219    0.000    0.000    0.001    0.000 typing.py:1481(<genexpr>)
  218/155    0.000    0.000    0.000    0.000 typing.py:1600(__hash__)
  216/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
  211/127    0.000    0.000    0.002    0.000 {built-in method builtins.repr}
      205    0.001    0.000    0.003    0.000 enum.py:254(__set_name__)
      205    0.000    0.000    0.000    0.000 enum.py:251(__init__)
      205    0.000    0.000    0.000    0.000 typing.py:2339(get_origin)
      203    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
      203    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      202    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
      202    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
      202    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      202    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      200    0.000    0.000    0.000    0.000 typing_extensions.py:3410(_is_unpacked_typevartuple)
      196    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      196    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      196    0.000    0.000    0.045    0.000 _compiler.py:573(_code)
      196    0.001    0.000    0.070    0.000 _parser.py:969(parse)
      196    0.001    0.000    0.009    0.000 _compiler.py:511(_compile_info)
      196    0.001    0.000    0.116    0.001 _compiler.py:740(compile)
      196    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      196    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      194    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
