('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1282421 function calls (1258193 primitive calls) in 7.566 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      193    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      310    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      190    0.001    0.000    0.009    0.000 _compiler.py:511(_compile_info)
     5156    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
     3679    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        3    0.001    0.000    0.001    0.000 socket.py:221(__init__)
     1545    0.001    0.000    0.002    0.000 filter.py:538(matches_tag)
      209    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      853    0.001    0.000    0.001    0.000 typing.py:1215(__setattr__)
     7009    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
      380    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
    52/14    0.001    0.000    0.015    0.001 css_parser.py:911(parse_selectors)
     2436    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      190    0.001    0.000    0.132    0.001 _compiler.py:740(compile)
     3308    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      194    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     4010    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      168    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    194/4    0.001    0.000    0.918    0.230 <frozen importlib._bootstrap>:911(_load_unlocked)
     2627    0.001    0.000    0.001    0.000 element.py:2590(_should_pretty_print)
     2751    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      804    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
     1437    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
